Day,series-1,series-2,series-3,series-4,series-5,series-6,series-7,series-8,series-9,series-10,series-11,series-12,series-13,series-14,series-15,series-16,series-17,series-18,series-19,series-20,series-21,series-22,series-23,series-24,series-25,series-26,series-27,series-28,series-29,series-30,series-31,series-32,series-33,series-34,series-35,series-36,series-37,series-38,series-39,series-40,series-41,series-42,series-43,series-44,series-45,series-46,series-47,series-48,series-49,series-50,series-51,series-52,series-53,series-54,series-55,series-56,series-57,series-58,series-59,series-60,series-61,series-62,series-63,series-64,series-65,series-66,series-67,series-68,series-69,series-70,series-71,series-72,series-73,series-74,series-75,series-76,series-77,series-78,series-79,series-80,series-81,series-82,series-83,series-84,series-85,series-86,series-87,series-88,series-89,series-90
2015-07-12,1270395,1262529,1029771,1273668,1119738,1399181,1864228,1763280,1355132,1302772,421588,530842,534676,723153,486020,427374,3839696,449715,448316,552151,301041,269911,289597,313087,1742701,441435,251056,243930,339468,258532,341448,3368377,384803,460705,750498,339747,330242,363551,482862,355351,45555,28298,42288,32934,119525,78011,27743,35325,24700,23643,350628,498830,446295,378961,319700,384054,412587,409793,372629,1834964,616752,522979,570344,620520,568088,832662,1086347,650739,689852,820203,188688,244117,427904,264074,256212,200987,156291,200009,210868,219692,11250,6708,21169,6472,11535,6390,8293,4475,4182,8399
2015-07-13,1278382,1415128,1007545,1166241,1194514,1335670,1485410,1192107,1122462,1195005,533755,585087,635033,857312,545376,523975,4119765,477565,516994,606031,267638,284720,296040,260615,1818213,408299,252274,237231,294803,239162,399027,3615435,352487,372493,903251,347829,346603,652725,489576,355876,51364,33806,48224,42081,156167,86322,29859,41314,26182,27846,366892,448001,423942,365120,339942,384361,416928,392457,396220,1981665,586155,566351,478826,488102,492570,746565,967390,500230,558186,730592,190692,222038,271601,212986,248432,176758,139141,202940,190467,239427,18423,8786,17136,8626,14850,9225,10444,5864,5177,9728
2015-07-14,1113408,2025847,962442,1124929,1284459,1356109,1755236,1105114,1061217,1139948,516210,759558,752319,884602,532124,533729,4149119,501363,519693,731996,251187,256973,303429,255972,2022222,409383,285490,302853,319197,261619,355693,3548370,344669,331298,918557,350062,351483,387538,364633,389591,56053,34635,46428,56425,195569,86893,31263,50593,26339,27515,431705,442777,424272,356023,358150,365483,375186,368368,360816,1804509,537488,471144,482470,448798,441235,659662,991478,503856,537353,580831,194986,195950,239275,224578,235184,153419,134600,194344,176567,190101,20493,11195,19350,10169,19729,10226,11226,6953,5976,11213
2015-07-15,1049063,1399772,979527,970068,1061100,1311444,1281941,1021482,1052804,1087715,488657,665486,660490,835089,518477,484878,4099661,517662,498014,631518,254938,251380,272394,254702,1870783,409567,273062,240602,291619,230744,308318,3409058,333342,282445,792806,319065,303303,371537,326908,345606,91090,34620,47018,45490,174681,87957,30773,61367,24779,26921,395929,406922,407379,377922,324488,342212,358646,361023,358740,1769578,583267,612266,467843,433686,517676,625269,913534,561392,493633,495741,198317,180430,224271,190016,233135,160012,130231,186431,170181,207270,26095,9740,18126,9986,17776,10819,11538,6958,6196,13804
2015-07-16,1124123,1289077,1131462,942408,1113033,1259146,1170842,1100826,1048089,1281083,500035,587012,557403,902836,514665,462217,3994071,467804,500675,587638,251959,261357,265611,245430,1792935,412336,245433,237908,265946,235386,292670,3472595,291176,286730,775430,314615,346184,346760,308484,312338,59072,33672,48233,39459,203805,84986,30709,43424,25683,25808,369497,455351,434125,533598,352834,351991,352176,370203,382502,1699950,634027,554800,808077,526916,537601,682402,978480,552560,667665,558015,194953,185529,220265,191366,239526,149883,134722,217060,171087,202355,36880,11886,18292,9955,23118,10509,11279,7226,6677,12522
2015-07-17,1072111,1186497,1159065,898075,1385015,1235394,1129029,1017047,948314,1120437,423092,522798,498885,673263,448577,417877,3903955,402921,433764,510216,232760,267636,245556,259587,1751633,369846,229177,226276,261036,228620,297894,3773627,301751,323384,695685,299646,284432,322038,292736,350219,107440,34351,43258,40483,190020,83444,32766,59705,24983,25321,350830,370716,490135,368054,316559,340092,358781,361560,351262,1855527,1030947,515020,744773,571920,712527,709304,1051062,600883,535026,801150,194269,178130,219175,191763,227176,169143,136348,221373,169173,194100,28255,9320,17407,8719,18321,9077,10158,5842,5412,10234
2015-07-18,1050996,1083625,1139969,943439,1209646,1214778,1198451,918658,979501,1063490,355625,445263,395612,534812,383790,353776,3682672,351062,356326,458609,242393,238573,245022,254551,1700909,355991,251788,249512,297632,244321,327530,5051394,337366,313884,588247,375067,312317,379846,271987,292245,90592,30746,40095,35018,167936,76720,27665,67380,22357,23776,355961,346569,380103,330756,292405,333042,350884,342197,312717,1560544,637826,541783,598801,577248,521967,751537,946918,547739,567316,789352,182416,285006,202829,179672,235328,165725,143584,200997,184079,179191,21242,6856,17668,6413,11662,6460,9271,4870,4875,8068
2015-07-19,1121982,1181454,1190984,980356,1201412,1310220,1446960,994575,1047883,1315111,403188,478636,424718,569869,431407,377430,3764523,372123,404867,496969,281527,251551,290637,267317,1786500,421658,267563,257487,362590,269981,398520,3610917,446225,346409,765206,528205,397368,386881,339724,440539,68600,33354,43529,39036,170449,78958,28791,45785,26671,27015,388504,373503,395614,357476,330353,368274,384233,381778,325741,1759934,617619,570053,633923,566812,486820,736000,985761,552540,562632,780809,210883,267700,356636,198846,257357,178419,155161,220215,202157,195976,22690,6441,13520,6203,10448,6526,7283,4950,4101,8419
2015-07-20,1165095,1241897,1199940,974106,1179750,1332499,1416677,1124308,1213425,1190075,499726,567010,493230,745681,517982,431627,4029755,466119,571008,528713,257242,262799,268063,251426,1814272,411161,266707,256282,296377,254524,334619,3468465,356610,294600,867677,377907,407044,345483,329868,342199,51271,35800,49359,40100,161968,85818,32952,40527,27710,29458,383868,401972,416742,368196,406213,370488,414591,416741,348397,1769452,635558,629208,616161,527631,546281,720663,982645,574426,577034,699475,209895,250895,230801,202491,251683,161805,161277,240789,190880,203812,20578,10048,16275,9306,16464,9849,10755,6941,6487,13322
2015-07-21,1136883,1055986,1099002,905516,1059631,1251162,1285436,1173870,1005508,1119719,472734,571099,499684,727092,524316,459619,4016919,466221,505424,531168,250490,249682,255615,232120,1796342,397553,271667,246094,271552,247962,300315,3341090,313698,281874,791621,336860,333529,321760,294700,312931,64352,34716,46229,37153,233768,87374,29072,51252,71002,27491,362918,389010,396679,363390,351184,418181,390126,396819,338323,1738241,588257,520623,520637,460085,481071,633961,893746,478495,500510,557156,208620,219732,233537,240072,246062,145953,159466,243083,177904,195124,19992,9181,16589,8426,14410,9776,10075,6456,5699,10196
2015-07-22,1111710,1081385,1010822,947807,1063417,1218370,1233168,1146846,1026976,1055256,469031,578972,509140,735379,525055,464813,4021423,456900,518229,529302,263923,261778,287057,251820,1794739,389830,259122,238665,254827,245381,285835,3448710,287167,275628,773556,334211,298181,477751,299610,320702,77616,37108,44954,36810,207833,85064,30326,124008,46699,29813,350972,361457,396657,358336,329876,360681,370590,373038,344306,1733046,596197,491705,503341,457904,470619,612191,940298,502390,487534,528667,220100,201515,251826,217564,242280,184166,169086,216060,187045,198472,18512,9692,16904,9109,14889,10668,10268,6643,5175,9850
2015-07-23,1106502,1158989,941394,888725,1015907,1190220,1038781,1136443,1010508,990409,495360,525096,460840,689964,533251,449760,4000392,425602,454241,557091,256376,262639,268453,232708,1666802,355370,239008,236954,251708,243696,296869,3435395,276098,252422,767951,328146,287799,324319,319767,330899,67250,36146,43339,37169,198047,83703,28975,89140,29160,30525,316467,320762,347209,309565,292702,322893,329393,353694,317141,1576349,556951,485936,470370,420215,469535,612934,876085,551681,446338,500334,185450,177065,245086,190078,221683,134810,146996,186038,190798,191909,17515,10163,17685,9527,15797,11144,11662,7240,6501,11410
2015-07-24,1109183,1108090,1222906,876038,992335,1200920,1039698,1083964,924482,1021086,391327,484220,389945,639488,426897,376780,3811122,361311,379765,464064,229146,249948,244971,215544,1494127,334665,280763,238016,246019,221868,310115,3234891,264193,256231,706631,300709,268280,314065,304468,301114,87769,35148,42687,42368,195779,80065,28893,43671,25401,29509,265513,288472,315666,272864,286579,293635,305885,312756,280320,1375142,512760,414421,437474,412041,473543,585625,733620,461257,368342,427601,152928,155342,200333,171120,191413,118968,124966,172605,170670,154992,15146,9296,15195,9302,14939,9728,10235,6451,5789,12102
2015-07-25,1124961,1106936,993645,906905,1012645,1267793,1013241,922479,939598,1028102,395816,410717,343933,497130,370689,336066,3630360,331488,329941,406464,227891,220778,257744,217159,1448111,354925,253410,248616,251031,237443,320358,3083466,260785,276871,686364,320382,288592,342707,306183,325586,84394,31566,41035,35365,159326,72958,26710,38890,24166,24977,245713,270103,299741,243895,290226,287788,263885,304277,266522,1210827,459696,408495,432864,413756,483556,530309,728343,433305,422418,483890,142789,156229,175208,177407,183532,115914,118249,176738,152335,140584,11323,6400,14153,6341,11420,6524,7796,4967,4436,7871
2015-07-26,1183846,1177359,1091630,951514,1122127,1311290,1104439,946209,1083296,1166080,427931,464395,404937,560725,420722,374880,3708265,376081,378558,494197,251821,261890,290460,250189,1533557,391149,264440,262986,317103,270400,323994,3156483,334319,326428,718283,334962,308542,352123,325205,352909,89824,30728,42563,34699,144952,75169,28792,39939,24551,24809,274094,314748,337386,285761,279361,330764,300026,311134,295673,1336318,513136,423981,432511,468249,445180,530016,804733,449614,525488,554360,152326,179923,210102,161209,210471,131351,130431,178260,161980,157090,11101,7096,14993,7109,11761,7585,7693,4401,4785,8914
2015-07-27,1400914,1055402,1022102,928394,2150179,1297466,1039250,931542,1011016,1178292,474604,532909,466082,690063,492960,417076,4023499,455567,449283,560233,248327,264967,255315,245058,1534982,396386,258043,249370,274899,233861,330147,3453313,315685,315113,845828,332990,327259,346076,333131,356444,86207,35116,46427,39374,235345,89525,32510,62854,28398,28778,277735,367243,334663,286686,289652,304709,314450,344028,302293,1587808,477635,446740,417915,436169,502566,502191,780998,429571,459459,494469,152563,182310,205637,182167,215133,121700,144441,156545,168044,149708,16748,8910,19979,9075,15824,9538,11774,6660,5671,11223
2015-07-28,1189251,1020336,981116,900854,2235579,1193206,1009596,1367099,973836,1050156,458252,546754,455787,726997,489653,420189,4067109,454459,467001,517277,319794,260883,248595,229875,1484808,365497,267830,233118,256382,238867,318613,3478332,339557,271546,815231,326732,317909,358550,328930,349875,79757,35489,45118,38134,216379,92949,32229,42032,26953,28541,264803,318724,330611,275008,288188,299383,308969,344480,293916,1481300,457351,507387,397783,412543,509558,533667,730086,473635,396321,543818,147213,159785,182735,184324,202109,115378,160832,159836,168977,160461,17896,9890,19632,9835,15284,11060,12213,7403,6128,10682
2015-07-29,1111520,1063326,958697,858056,1523624,1115785,1045811,1935946,955301,997738,443896,530034,453973,729896,478830,543407,4086394,432795,455740,533196,432587,268271,260355,246833,1449611,347942,258884,224997,242640,237245,320637,3435496,333583,283216,782208,408519,308175,334506,329543,352869,83895,35994,43586,38307,213560,94851,30992,61320,26169,26664,266176,297060,322116,276983,261795,279723,311200,316448,309753,1501256,725915,482634,437354,466168,482657,563886,751072,469381,439611,473410,159919,160038,169454,187675,205842,116233,142120,153332,164546,194781,19747,15072,24121,10650,18410,12329,16979,8232,7697,12009
2015-07-30,1066003,963086,951910,843717,1425664,1135594,982529,1045070,944537,986422,434576,498394,419004,709967,490080,414931,3895237,429941,446305,509433,245272,284235,243389,221983,1438937,355567,251541,254108,235909,275965,293421,3349455,293738,246431,789095,371082,299348,325612,324022,341238,81607,33807,43140,39214,239265,87931,29567,39898,24738,28851,268374,283162,323367,273110,260921,273493,294066,311797,345522,1413851,471834,417130,459432,364080,449655,546987,718419,557376,412917,431972,151076,162969,157322,189962,198777,129654,126418,145926,150189,219936,16428,9241,23470,9122,14357,9814,13423,6362,5677,10491
2015-07-31,1088071,907709,995946,818154,1164798,1156648,929496,998177,965741,951820,373800,438974,356166,595126,384969,348603,3740674,543644,377696,441505,235952,243369,231329,228897,1326034,341402,238164,222314,240865,241818,277260,3182182,259605,234950,692528,302804,287429,322868,285777,337927,80954,31190,40889,36206,283631,81900,28185,423684,23604,32263,262682,277576,314348,272527,269753,265855,305617,307841,286631,1418660,435350,425651,388401,346374,368142,528985,724542,447786,422567,403762,143835,158477,150453,180821,189493,112244,125727,138865,144913,152971,15728,8520,21551,8456,13473,9535,13253,6062,5323,10254
2015-08-01,1070993,893581,1090623,906885,1097959,1124384,1023001,949263,938821,965398,367500,375141,310021,485568,335793,296963,3582722,327470,317622,385331,236885,242754,247121,216172,1232501,316526,248026,215752,236838,222684,286423,2955951,301286,255508,589247,281054,270616,303739,277975,268947,76987,29369,40622,39738,256651,74975,26006,64453,22468,23010,223607,402502,289146,300645,230496,248430,270288,267818,238063,1164135,442215,399948,356100,333668,376144,478207,677430,454517,382550,427161,133216,155092,139611,135889,169464,103910,113288,130572,129136,156710,11939,7028,17580,7037,11998,7962,8218,5114,4937,8454
2015-08-02,1250606,971868,1922682,931631,1147076,1245060,1035336,967673,1029513,1133878,398781,407918,359232,586449,380908,341930,3637305,404215,366815,407583,227291,226106,242967,215732,1286589,332275,275251,223311,247819,218985,318535,3120066,303999,271338,676577,334391,314194,327507,282816,306271,116097,28476,1300455,33879,260235,73533,25960,65270,23229,23929,245757,494611,314331,417924,249915,266683,308154,282206,273387,1218259,483805,433146,455462,399710,381441,496345,728117,489219,486607,570071,147154,182630,175678,142130,192695,117299,115116,144397,143292,136572,14998,7805,18921,7521,13198,7957,9091,5979,5114,10668
2015-08-03,1162221,918760,1365261,814945,1061510,1147496,892486,939681,900613,986925,406447,457326,392127,630286,397043,356720,3512452,400957,389209,430424,251997,223938,232791,203126,1431228,347936,229736,208536,229460,211352,306425,3039309,268959,316472,697927,291064,271489,556132,283626,272035,78918,29063,40680,41350,266520,79717,26583,49400,23991,23710,284819,510800,355193,482420,297904,306984,336306,361480,310465,1899495,486601,554875,420829,398923,473083,552985,836473,498790,440211,527563,167469,185729,183644,166219,216667,123996,135571,153236,162036,158749,14237,8155,17552,8903,13696,9894,10265,6457,5413,9971
2015-08-04,1246640,945474,1219393,845983,1155038,1229434,989050,1030395,991886,1024419,497423,584120,491923,763197,488937,469270,3979191,470238,504125,543912,260700,283448,272727,239312,1775797,385574,281617,232306,276143,282647,335751,3379637,308495,329514,810384,340478,328697,320282,327117,364328,92714,33386,46022,38392,302049,93276,30299,68478,27596,28409,332251,464524,396328,419568,332490,363501,376174,415089,373362,1820566,550884,564420,488398,485913,537110,635909,1174423,583825,507477,593316,185476,210355,202765,201514,253024,172418,174478,179848,183811,216366,18028,9527,20525,12400,15682,10974,10933,7608,6188,10761
2015-08-05,1255955,971738,1085451,903537,1065613,1194082,999149,1042234,1118292,989675,489219,595386,489027,758909,508074,468692,3982843,470679,499980,555155,258949,294360,257031,238446,1744239,354807,290092,222922,268005,246675,310264,3329705,279985,282713,782145,376804,288486,325855,303423,385073,85450,34619,44012,39441,342911,93434,29706,69600,26393,29869,320667,419106,392409,370220,320438,344833,379924,428604,383792,1737292,599443,645857,587092,470741,538057,647687,961094,525696,477475,507004,184853,243666,197230,253269,255926,186463,169621,183719,186393,242985,17467,9483,17818,9401,15408,11610,10520,6979,5266,10770
2015-08-06,1595573,934176,1084348,882309,1028230,1248514,968115,1064528,1007531,995913,514831,552990,462628,703422,499724,453694,4005095,452274,536828,536251,267190,274504,289735,246209,1755805,374237,270822,231221,269807,277174,310215,3299875,291763,265775,764060,409533,274472,401099,312219,407365,152556,35150,44605,44575,320225,92777,30001,107573,27336,35274,331053,392095,381393,358493,320855,357147,349675,391372,382290,1769519,572225,657738,588720,469996,586317,694496,969738,531722,544098,542672,218337,238159,196541,253977,252782,180355,162450,166671,188491,201392,16518,9227,17671,9114,15881,10178,11278,7349,5908,11464
2015-08-07,1438740,948990,1302900,868546,1218127,1347608,934828,1021852,1005782,1034585,433657,509748,397870,709986,417005,392500,3828298,390868,426099,487096,270389,287953,256772,235748,1723554,440119,294883,240264,268866,274527,362829,3254318,284212,289183,952150,359053,284307,318377,311607,387986,150121,32832,43697,40297,310028,90900,28353,124585,25630,30731,335058,369251,376783,345755,340648,339434,351278,391172,433105,1685999,632754,562679,551571,414513,511045,812842,931816,508387,514731,533148,210240,219359,183184,197527,283387,146088,157501,185091,179854,217515,15061,8581,15457,8546,14236,9098,9260,6070,4795,10202
2015-08-08,1280632,939334,1150110,886503,1121520,1285267,934242,1019581,940218,1024198,397259,454331,369553,588839,388439,363056,3696426,380625,396314,445299,270786,250563,245649,247465,1728274,417797,334543,257821,307763,264968,331731,3004765,308380,268384,738012,312345,273533,313342,301720,281515,311834,29960,40601,34791,299461,83554,26491,170956,23543,27588,315607,336191,389355,321387,320462,328210,346078,388426,335252,1539842,575562,611532,546632,467757,601129,740415,921858,531281,539809,626472,192569,214335,201165,190408,274864,154924,165876,190178,180887,175082,14080,8281,16094,8276,16393,7285,8398,5547,7168,8476
2015-08-09,1398446,1032437,1224012,922718,1149373,1392881,1011157,1080563,1085933,1113303,439791,523554,432754,627564,445587,407319,3747652,451602,455930,549598,286710,252481,266755,247867,1769824,429577,368973,256663,305242,279728,428921,3164080,371154,303777,790022,387339,312698,351802,418349,307495,187393,30066,44015,39884,287586,81642,28548,55142,24641,25247,315746,374015,380444,344592,320011,343152,375446,384111,351086,1605225,578307,636620,595327,511347,624165,817222,940161,561051,585773,791861,194318,233550,228688,212675,274131,165180,173059,182981,198598,171201,12967,7860,15867,8133,18217,6830,7935,4967,5432,9315
2015-08-10,1450196,969973,1047500,864586,1122949,1333586,974250,996324,988770,1061998,478635,573437,475044,712196,488881,448676,3849663,457062,480765,533981,265063,264304,248315,228257,1685099,386954,273883,319012,252163,241471,314381,3249424,311722,263768,828018,324419,286451,312277,339544,285583,192527,32689,44290,42684,369298,85883,29213,86460,25594,26635,312298,345222,373361,331985,301798,323530,367659,387658,355735,1684584,577302,590138,552328,688189,577203,745404,980017,618638,563483,645336,181361,222095,199878,194046,258582,139320,158660,164460,181037,221761,16504,9092,15400,9789,16871,9443,10108,6179,7053,11996
2015-08-11,2011850,977123,1100863,839956,1092545,1368265,1030412,1197215,969323,1289152,591220,740718,539512,838092,715487,502876,4029094,552041,593873,565884,275195,260993,317943,242485,1715018,385734,283681,259893,273114,250741,308083,3263129,323065,273198,833028,350415,295973,483700,317570,303557,90971,33188,45409,36309,603298,89286,30043,74916,25020,27150,347481,424829,392702,332011,315226,368153,388277,396095,390235,1727783,573433,612707,536798,559189,519090,717871,919772,607860,533476,655047,177897,201807,197744,228625,249711,140777,160398,161363,178065,192401,17254,10112,18502,10262,16472,9963,11019,7157,6064,12493
2015-08-12,1626745,1037596,1105947,834858,1108189,1435937,1035159,1079750,1021470,1196401,596567,679202,563774,866748,586933,516669,4116474,555408,614889,650534,267904,329511,260061,268030,1729949,377212,273492,237203,262590,236706,323674,3351259,357325,278246,791218,335913,290115,366989,366105,313462,81779,35422,45508,36024,322762,91605,31910,62851,26581,27015,330610,438026,403412,344579,337956,359673,377916,389450,509764,1725518,612733,633505,554148,535113,586758,702654,942875,588063,584040,991018,179618,191372,207392,211476,260317,140216,157071,160831,180256,311644,18578,10133,17281,9687,15491,12945,12539,7226,5963,14738
2015-08-13,1412877,995543,1185272,881924,1114046,1489292,1027183,984584,1076662,1047854,529594,642802,552699,832574,532837,511658,4014261,509639,590426,694655,280242,381447,287307,252517,1748560,407044,272700,250112,297377,244040,316825,3325770,360118,299084,803916,361608,296557,361035,450746,310923,175286,35541,46528,37206,319619,89275,31170,65451,26393,28197,361599,423644,467659,349773,330260,343544,376845,417458,509183,1735764,590239,574382,674881,582685,644491,780403,922995,545455,581986,704058,196847,190738,213983,215737,248172,153915,158814,158897,178463,409460,17973,10783,16559,9659,20510,10546,10933,7035,8067,14959
2015-08-14,1510359,953911,1084456,881205,1033253,1500215,970040,923333,990008,1021652,451600,536975,455511,698464,449004,433149,3775756,437298,482764,479069,267674,275563,314774,269013,1804395,403358,285457,271516,336009,271514,305555,3248313,331973,273139,765305,322016,307688,436339,301359,297823,179414,34554,45466,38277,298596,88559,31242,63147,25351,31626,328628,403415,433659,342023,337370,346323,417168,391426,367496,2003547,654047,649173,698651,560859,582095,770272,955996,655839,627006,675569,193725,197578,215334,214591,253231,151569,160883,178606,179209,176795,16256,9002,19169,8768,20676,9255,9904,6358,6679,15120
2015-08-15,1598168,958663,968457,931450,1071574,1487648,1001440,959025,998557,1020658,392922,428854,363924,582321,393420,351716,3571005,373080,366306,447894,269539,269206,283662,265711,1878377,385129,292596,251499,336584,262469,284291,3090300,295259,259805,672000,315104,352623,404306,306101,290702,255012,34710,41285,35468,330431,78785,28287,262389,24713,35363,316011,566043,396916,310598,339608,331920,347814,377204,351115,1671055,651606,695984,694861,576516,651172,912782,1019831,663774,705115,734717,195510,209150,234474,220036,256739,152000,166698,189251,194060,176531,11854,7114,17260,6846,15207,7200,8464,5209,5908,8639
